,1950,1960,1970,1980,1990
18.10.94,0.0,0.0,0.0,0.0,4.0
18.11,0.0,0.0,0.0,0.0,2.0
18.15,0.0,0.0,0.0,0.0,4.0
18.18,0.0,0.0,0.0,0.0,2.0
18.30,0.0,0.0,0.0,0.0,10.0
18.40,0.0,0.0,0.0,0.0,2.0
18.45,0.0,0.0,0.0,4.0,42.0
18.46,0.0,0.0,0.0,0.0,2.0
18.50,0.0,0.0,0.0,2.0,0.0
18.55,0.0,0.0,0.0,30.0,2.0
18.576,2.0,0.0,0.0,0.0,0.0
18.59,2.0,0.0,0.0,0.0,0.0
180,2.0,0.0,7.0,10.0,25.0
180.000,0.0,0.0,0.0,0.0,10.0
1800,2.0,0.0,0.0,0.0,2.0
180000,0.0,0.0,2.0,0.0,0.0
1805,0.0,0.0,0.0,0.0,2.0
181.200,2.0,0.0,0.0,0.0,0.0
181.300,0.0,0.0,0.0,0.0,2.0
1810,0.0,2.0,2.0,0.0,0.0
1810.,0.0,6.0,0.0,0.0,0.0
1811,0.0,0.0,0.0,2.0,0.0
1818,0.0,0.0,0.0,0.0,2.0
1823,0.0,2.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0,1.0
1840.,0.0,0.0,2.0,0.0,0.0
1844,0.0,2.0,0.0,0.0,0.0
1849.,2.0,0.0,0.0,0.0,0.0
1860,2.0,0.0,0.0,0.0,2.0
1866.,0.0,2.0,0.0,0.0,0.0
187,0.0,0.0,0.0,2.0,0.0
1873,0.0,0.0,4.0,3.0,3.0
1873.,0.0,0.0,2.0,0.0,0.0
1874.,0.0,0.0,0.0,3.0,3.0
1875,0.0,2.0,0.0,0.0,0.0
1879,0.0,0.0,0.0,2.0,0.0
188,0.0,0.0,0.0,0.0,6.0
1880,0.0,2.0,0.0,0.0,2.0
1880.,0.0,0.0,2.0,0.0,0.0
1881,0.0,0.0,0.0,0.0,4.0
1882,0.0,2.0,0.0,0.0,0.0
1884,2.0,0.0,0.0,0.0,0.0
1884.,0.0,0.0,0.0,0.0,2.0
1885,0.0,0.0,2.0,1.0,7.0
1885.,0.0,0.0,0.0,0.0,2.0
1886,0.0,8.0,2.0,0.0,0.0
189,2.0,0.0,0.0,0.0,0.0
1890,1.0,1.0,0.0,0.0,0.0
1892,0.0,0.0,2.0,0.0,0.0
1893,0.0,4.0,4.0,0.0,0.0
1894,0.0,0.0,2.0,0.0,0.0
1895,0.0,0.0,2.0,0.0,0.0
1898,0.0,0.0,2.0,0.0,0.0
19,8.0,15.0,1.0,18.0,192.0
"19,30",2.0,0.0,0.0,0.0,0.0
19.,6.0,9.0,5.0,16.0,99.0
19.00,2.0,8.0,2.0,0.0,24.0
19.05,0.0,0.0,0.0,0.0,12.0
19.10,0.0,0.0,0.0,0.0,42.0
19.30,0.0,0.0,0.0,54.0,18.0
19.35,2.0,0.0,0.0,0.0,2.0
190,0.0,0.0,0.0,0.0,4.0
1900.,0.0,0.0,0.0,2.0,0.0
1911,0.0,0.0,0.0,1.0,2.0
1911.,0.0,0.0,0.0,0.0,2.0
1914,0.0,4.0,0.0,0.0,0.0
1918.,0.0,0.0,0.0,0.0,12.0
1919.,0.0,0.0,0.0,0.0,2.0
1920,2.0,0.0,0.0,0.0,2.0
1923.,0.0,0.0,0.0,2.0,2.0
1924,0.0,4.0,2.0,0.0,0.0
1928,0.0,0.0,1.0,1.0,0.0
1930,2.0,0.0,0.0,0.0,2.0
1930.,2.0,0.0,0.0,0.0,0.0
1937,3.0,3.0,0.0,0.0,0.0
1938,4.0,0.0,0.0,2.0,0.0
194,0.0,0.0,0.0,2.0,0.0
1940,0.0,0.0,0.0,0.0,4.0
1940.,0.0,0.0,2.0,0.0,0.0
1941,0.0,2.0,0.0,0.0,0.0
1942,0.0,4.0,0.0,0.0,6.0
1943,2.0,0.0,0.0,0.0,0.0
1944,0.0,2.0,0.0,2.0,0.0
1946,0.0,2.0,2.0,0.0,0.0
1947,0.0,0.0,0.0,0.0,2.0
195,2.0,0.0,0.0,0.0,0.0
1950,8.0,6.0,0.0,8.0,10.0
1950.,2.0,0.0,0.0,0.0,0.0
1951,8.0,0.0,0.0,0.0,0.0
1952,2.0,2.0,0.0,0.0,8.0
1952.,4.0,0.0,0.0,0.0,0.0
1953,16.0,0.0,0.0,0.0,2.0
1954,3.0,1.0,0.0,1.0,19.0
1954.,0.0,4.0,0.0,0.0,2.0
1955,50.0,8.0,0.0,0.0,0.0
1955.,4.0,2.0,0.0,0.0,1.0
1956,8.0,6.0,0.0,8.0,22.0
1956.,6.0,0.0,2.0,0.0,0.0
1957,16.0,10.0,0.0,0.0,4.0
1957.,2.0,2.0,0.0,0.0,0.0
1958,7.0,3.0,0.0,0.0,0.0
1959,3.0,1.0,0.0,0.0,0.0
1959.,1.0,3.0,0.0,0.0,0.0
196,0.0,2.0,0.0,0.0,0.0
1960,3.0,3.0,2.0,2.0,8.0
1961,0.0,6.0,2.0,0.0,2.0
1962,2.0,12.0,0.0,0.0,0.0
1963,0.0,8.0,0.0,0.0,16.0
1963.,0.0,0.0,0.0,0.0,4.0
1964,0.0,2.0,0.0,0.0,2.0
1964.,0.0,8.0,0.0,0.0,0.0
1965,0.0,30.0,4.0,1.0,3.0
1965.,0.0,6.0,0.0,0.0,0.0
1966,0.0,8.0,0.0,1.0,3.0
1967,0.0,4.0,0.0,0.0,2.0
1968,0.0,6.0,4.0,6.0,14.0
1968.,0.0,0.0,2.0,0.0,2.0
1969,0.0,38.0,4.0,1.0,7.0
1969.,0.0,1.0,5.0,0.0,2.0
197,0.0,0.0,0.0,0.0,6.0
1970,0.0,21.0,3.0,4.0,2.0
1970.,0.0,2.0,2.0,0.0,2.0
1971,0.0,0.0,4.0,0.0,0.0
1972,0.0,0.0,4.0,0.0,2.0
